Lijst Overzicht Reserveringen 

Datum: 21.09.2015 tot 22.05.2016 
Opleiding : 51230411 MA ING WET: COMPUTERWET. 
Studiejaar: alle 

Afdrukdatum: 14.12.2015 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|Event ID|Event Nr| Week|Datum |Dagnaam |Aanvang |Einde |Ects D| Objid D|Code |Teken|Objid SM|Objectomschrijving |Objid SC|S|Status Lok |Status Lok |Mnemonic|Lokaal Nr| Obj.-ID|Cap G|Lokaal |Code |Tekst gebouw |Straat en huisnummer |Plaats |Postcode|Lnd|S|Status Les |Status Les |Lesgever |Pers.nr.|Pers.nr.|Tekst Vak |Opmerking |Afhandeling |Reeksinfo |Alg. omsch|Reeksinfo Accent |Opm. Accen|Afh. Accen| 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
|53305993| 1|201539|22.09.2015|Dinsdag |08:30:00|10:30:00|H04H8a|50448142|H04H8B|K |50840604|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.05 |50075352| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|F. Piessens | 18905| 18905| Formal Systems and their Applications: Lecture | | | | | | | | 
|53305396| 1|201539|22.09.2015|Dinsdag |10:30:00|13:00:00|H04I4a|50448136|H04I4A|P |50448402|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.225 |50721558| 125 |AUDITORIUM COMPUTERWETENSCHAPPEN |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|W. Joosen | 15627| 15627| Gedistribueerde systemen: hoorcollege | Dubbele boeking oké (gelijktijdige activiteit HN08) | | | | | | | 
|53311797| 1|201539|23.09.2015|Woensdag |08:30:00|10:30:00|H04L2a|50448160|H04L2A|K |50448412|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200A |00.144 |50849433| 60 |Seminarielokaal |490-12|Computerwetenschappen |Celestijnenlaan 200a |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|M. Lobelle | 65202| 65202| Software for Real-Time and Embedded Systems: Lecture | | | | | | | | 
|53310004| 1|201539|23.09.2015|Woensdag |09:00:00|10:30:00|H02D1a|50286660|H02D1A|K |50290467|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200D |05.11 |50075318| 106 |200D.05.0011 |493-21|Instituut Natuurkunde Navorsing|Celestijnenlaan 200d |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|D. Roose | 6989| 6989| Genetic Algorithms and Evolutionary Computing: Lecture | | | | | | | | 
|53309490| 1|201539|23.09.2015|Woensdag |13:30:00|16:00:00|G0B23a|50545315|G0B23A|P |50545563|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|MTM |00.39 |50075183| 188 | |334-10|Materiaalkunde |Kasteelpark Arenberg 44 |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|M. Denecker | 34191| 9232| Modellering van complexe systemen | Dubbele boeking oké (gelijktijdige activiteit HN05) | | | | | | | 
|53311461| 1|201539|23.09.2015|Woensdag |14:00:00|16:00:00|H01G1a|50270942|H01G1A|K |50271080|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.04 |50075355| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|G. Gielen | 5155| 5148| Computergesteund probleemoplossen: hoorcollege | | | | | | | | 
|53311461| 1|201539|23.09.2015|Woensdag |14:00:00|16:00:00|H01G1a|50270942|H01G1A|K |50271080|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200S |00.04 |50075355| 40 | |490-17|Seminarielokalen |Celestijnenlaan 200s |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|S. Vandewalle | 9501| 9501| Computergesteund probleemoplossen: hoorcollege | | | | | | | | 
|53311945| 1|201539|23.09.2015|Woensdag |16:00:00|18:00:00|G0B34a|50545551|G0B34B|K |50699383|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |00.16 |50817846| 60 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|B. Berendt | 54729| 54729| Knowledge and the Web: Lecture | Dubbele boeking oké (gelijktijdige activiteit H0Y8) | | | | | | | 
|53311946| 1|201539|23.09.2015|Woensdag |16:00:00|18:00:00|H00Y8a|52714587|G0B34B|K |50699383|MA ING WET: COMPUTERWET.|51230411|1|@08\QStatus@|Goedgekeurd|200B |00.16 |50817846| 60 | |490-11|Instituut voor Wiskunde |Celestijnenlaan 200b |Heverlee|3001 |BE |1|@08\QStatus@|Goedgekeurd|B. Berendt | 54729| 54729| Knowledge and the Web: Lectures 2 | Dubbele boeking oké (gelijktijdige activiteit H_GB34) | | | | | | | 
